country,1984,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Albania,,,,,,,,,,,,,,,,29.6,,,,
Armenia,,,,,,,,,,,,,50.8,,48.7,,,,,
Azerbaijan,,,,,,,,,,,,,,,42,,,,,
Burundi,,,,36,,,,,,,,64.6,,,,,,,,
Benin,,,,,,,,,25.2,,,,33,,,,,,,
Burkina Faso,,,,,,,,,,,,61.1,,,,,52.4,,,
Bangladesh,,,,,,,,,,55.2,,,,52.3,,,,,43.8,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,19.9,,,,
Bolivia,,,,,,,,,,,77.3,,81.7,,,83.5,,,,
Brazil,,,,,,,,,,,,51.4,,,,,41,,,
China,,,,,,,,,,7.9,,4.6,,,,,,,,
Cameroon,,,,,,,,,,59.6,,,,,49.9,,,,,
Colombia,,,,,,,,,79,,,,79,,,,,,,
Costa Rica,,,,,,25.5,,,,,,,,,,,,28.3,,
Dominican Republic,,,,,,,,,,,,,,45.3,,,,55.7,,
Algeria,,16.6,,,,,,,30.3,,,,,,,,,,,
Ecuador,,,,,,,,,56,,,69,,,,,,,,
Egypt,,,,,,,,,,23.3,,,,,,,,,,
Estonia,,,,,,,,,14.7,,,,,,,,,,,
Ethiopia,,,,,,,,,,47,,,,45,,,,,,
Georgia,,,,,,,,,,,,,,,,55.4,52.7,,,
Ghana,,,,,,,,,,,,,49.6,,,,,,,39.2
Gambia,,,,,,,,,,,,61,,,,,63,,,
Guatemala,,,71.9,,,,,,,,,,,74.5,,,,,,
Honduras,,,,,,,,,,,,,71.2,,,,,70.4,,
Haiti,,,,,,,,,66,,,,,,,,,,,
Indonesia,,,,,,,,,,,,,34.4,,,,,,,
India,,,,,,,,37.3,,,,,,30.2,,,,,,
Jamaica,,,,,,,,,37,,,,,25.1,,,,,,
Jordan,,,,,,,,,,,27,,,,,18.7,,,,
Kazakhstan,,,,,,,,,,39,,,,,,,,,,
Kenya,,,,,,,,47,,,53,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,51,,57.5,,50.8,
Cambodia,,,,,,,,,,,40.1,,,,,,,38,,
Lao,,,,,,,48.7,,,,,41,,,,,,,,
Sri Lanka,,,,,22,,,,,27,,,,,,7.9,,,,
Lesotho,,,,,,,53.9,,,,,,,,,,,,,
Latvia,,,,,,,,,,,,,,,,11.6,,12.7,,
Morocco,,,,,18,,,,,,,,27.2,,,,,,,
Moldova,,,,,,,,,,,,,,,64,67.2,,,,
Madagascar,,,,,,,,,,,76,,76.7,,,,,,,
Mexico,,,,,,,,,,,,,,42.4,,34.8,,27.9,,
North Macedonia,,,,,,,,,,,,,,,,25.3,22.3,,,
Mali,,,,,,,,,,,,75.9,,,,,,,,
Mongolia,,,,,,,,,33.1,,,32.6,,,,43.4,,,,
Mozambique,,,,,,,,,,,71.3,,,,,,55.3,,,
Mauritania,,,,,,,,,,65.5,,,,61.2,,,,,,
Malawi,,,,,,,,,,,,66.5,,,,,,,,
Niger,,,,,,,66,,,,,,,,,,,,,
Nigeria,49.5,,,,,,36.4,,,,,,,,,,,,,
Nicaragua,,,,,,,76.1,,,,,68.5,,,,,,,,
Nepal,,,,,,,,,,43.3,,,,,,,,34.6,,
Pakistan,,,,,,,33.4,,,,,,35.9,,,,,,,
Panama,,,,,,,,,,,64.9,,,,,,,,,
Peru,,,,,,,,,,,,,,,77.1,,,72.1,,
Philippines,,,,,,,,18.6,,,36.9,,,,,,,,,
Papua New Guinea,,,,,,,,,,41.3,,,,,,,,,,
Paraguay,,,,28.5,,,,,,,,,,,,,,,,
Romania,,,,,,,,27.9,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,65.7,,,,,,
Senegal,,,,,,40.4,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,79,,
El Salvador,,,,,,,,,64.8,,,,,,,49.8,,,,
Eswatini,,,,,,,,,,,,,,,75,,,,,
Chad,,,,,,,,,,67,,,,,,,,,,
Trinidad and Tobago,,,,,,20,,,,,,,,,,,,,,
Tunisia,,,,13.1,,,,,13.9,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,34.5,,,,
Tanzania,,,,,40.8,,,,,,,,,,38.7,,,,,
Uganda,,,,,,,,,,,,,,37.4,,,41.7,,,
Ukraine,,,,,,,,,,,,,,34.9,,,28.4,,,
Uzbekistan,,,,,,,,,,,,,,30.5,,,,,,
Vietnam,,,,,,,,,,,,45.5,,,,35.6,,,,
Yemen,,,,,,,,,,,,45,,,,,,,,
Zambia,,,,,,,,,,,,83.1,,,,,,78,,
Zimbabwe,,,,,35.8,,,,,48,,,,,,,,,,
