country,1984,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005
Albania,,,,,,,,,,,,,,,,19.8,,,,
Argentina,,,,,,,,,28.4,,,29.9,,,,,,,,
Armenia,,,,,,,,,,,,,58.3,,51.9,,,,,
Azerbaijan,,,,,,,,,,,,,,,55,,,,,
Burundi,,,,43,,,,,,,,66.5,,,,,,,,
Benin,,,,,,,,,28.5,,,,23.3,,,,,,,
Burkina Faso,,,,,,,,,,,,22.4,,,,,19.2,,,
Bangladesh,,,,,,,,,,29.4,,,,35.1,,,,,28.4,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,13.8,,,,
Bolivia,,,,,,,,,,,53.8,,50.5,,,53.9,,,,
Brazil,,,,,,,,,,,,14.7,,,,,17.5,,,
China,,,,,,,,,,2,,2,,,,,,,,
Cameroon,,,,,,,,,,41.4,,,,,22.1,,,,,
Colombia,,,,,,,,,48,,,,55,,,,,,,
Costa Rica,,,,,,19.2,,,,,,,,,,,,20.8,,
Dominican Republic,,,,,,,,,,,,,,18.2,,,,34.7,,
Algeria,,7.3,,,,,,,14.7,,,,,,,,,,,
Ecuador,,,,,,,,,19,,,30,,,,,,,,
Egypt,,,,,,,,,,22.5,,,,,,,,,,
Estonia,,,,,,,,,6.8,,,,,,,,,,,
Ethiopia,,,,,,,,,,33.3,,,,37,,,,,,
Georgia,,,,,,,,,,,,,,,,48.5,56.2,,,
Ghana,,,,,,,,,,,,,19.4,,,,,,,10.8
Gambia,,,,,,,,,,,,48,,,,,57,,,
Guinea-Bissau,,,,,,,,,,,,,,,,52.6,,,,
Guatemala,,,33.7,,,,,,,,,,,27.1,,,,,,
Honduras,,,,,,,,,,,,,28.6,,,,,29.5,,
Indonesia,,,,,,,,,,,,,16.1,,,,,,,
India,,,,,,,,32.4,,,,,,24.7,,,,,,
Jamaica,,,,,,,,,18.7,,,,,12.8,,,,,,
Jordan,,,,,,,,,,,19.7,,,,,12.9,,,,
Kazakhstan,,,,,,,,,,30,,,,,,,,,,
Kenya,,,,,,,,29,,,49,,,,,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,41.2,,35.7,,29.8,
Cambodia,,,,,,,,,,,21.1,,,,,,,18,,
Lao,,,,,,,33.1,,,,,26.9,,,,,,,,
Sri Lanka,,,,,15,,,,,15,,,,,,24.7,,,,
Lesotho,,,,,,,27.8,,,,,,,,,,,,,
Morocco,,,,,7.6,,,,,,,,12,,,,,,,
Moldova,,,,,,,,,,,,,,,58,42.6,,,,
Madagascar,,,,,,,,,,,63.2,,52.1,,,,,,,
Mexico,,,,,,,,,,,,,,12.6,,11.4,,11.3,,
Mali,,,,,,,,,,,,30.1,,,,,,,,
Mongolia,,,,,,,,,38.5,,,39.4,,,,30.3,,,,
Mozambique,,,,,,,,,,,62,,,,,,51.5,,,
Mauritania,,,,,,,,,,30.1,,,,25.4,,,,,,
Malawi,,,,,,,,,,,,54.9,,,,,,,,
Niger,,,,,,,52,,,,,,,,,,,,,
Nigeria,31.7,,,,,,30.4,,,,,,,,,,,,,
Nicaragua,,,,,,,31.9,,,,,30.5,,,,,,,,
Nepal,,,,,,,,,,21.6,,,,,,,,9.6,,
Pakistan,,,,,,,17.2,,,,,,24.2,,,,,,,
Panama,,,,,,,,,,,15.3,,,,,,,,,
Peru,,,,,,,,,,,,,,,42,,,42.9,,
Philippines,,,,,,,,45.4,,,11.9,,,,,,,,,
Papua New Guinea,,,,,,,,,,16.1,,,,,,,,,,
Paraguay,,,,19.7,,,,,,,,,,,,,,,,
Romania,,,,,,,,20.4,,,,,,,,,,,,
Rwanda,,,,,,,,,,,,,,14.3,,,,,,
Senegal,,,,,,23.7,,,,,,,,,,,,,,
Sierra Leone,,,,,,,,,,,,,,,,,,56.4,,
El Salvador,,,,,,,,,38.9,,,,,,,28.5,,,,
Eswatini,,,,,,,,,,,,,,,49,,,,,
Chad,,,,,,,,,,63,,,,,,,,,,
Trinidad and Tobago,,,,,,24,,,,,,,,,,,,,,
Tunisia,,,,3.5,,,,,3.6,,,,,,,,,,,
Turkey,,,,,,,,,,,,,,,,21.9,,,,
Tanzania,,,,,31.2,,,,,,,,,,29.5,,,,,
Uganda,,,,,,,,,,,,,,9.6,,,12.2,,,
Uruguay,,,,,,,,20.2,,,,24.7,,,,,,,,
Uzbekistan,,,,,,,,,,,,,,22.5,,,,,,
Vietnam,,,,,,,,,,,,9.2,,,,6.6,,,,
Yemen,,,,,,,,,,,,30.8,,,,,,,,
Zambia,,,,,,,,,,,,56,,,,,,53,,
Zimbabwe,,,,,3.4,,,,,7.9,,,,,,,,,,
